season,week,home_team,away_team,home_score,away_score,home_team_win,ewma_dynamic_window_rushing_offense_home,ewma_dynamic_window_passing_offense_home,ewma_dynamic_window_rushing_defense_home,ewma_dynamic_window_passing_defense_home,game_date_home,ewma_dynamic_window_rushing_offense_away,ewma_dynamic_window_passing_offense_away,ewma_dynamic_window_rushing_defense_away,ewma_dynamic_window_passing_defense_away,game_date_away,month,day,year
2019,3,IND,ATL,27,24,1,0.039173849,0.062935729,0.064910458,-0.037513749,9/22/2019,-0.170727362,0.075880206,-0.008135298,0.102932385,9/22/2019,9,22,2019
2019,3,KC,BAL,33,28,1,-0.077841557,0.367862788,0.056584862,-0.000179212,9/22/2019,-0.054078556,0.238893088,-0.237801899,-0.057222116,9/22/2019,9,22,2019
2019,3,ARI,CAR,20,38,0,-0.163070836,-0.191695141,0.006166868,0.037313834,9/22/2019,-0.137842782,-0.023681052,-0.05771303,0.071324161,9/22/2019,9,22,2019
2019,3,WAS,CHI,15,31,0,-0.159417351,-0.019603411,0.032037015,0.137127667,9/23/2019,-0.103812685,0.01160356,-0.236252626,-0.086318618,9/23/2019,9,23,2019
2019,3,BUF,CIN,21,17,1,-0.00281155,-0.045100588,-0.038238581,-0.19288207,9/22/2019,-0.190059322,-0.016740704,-0.02894874,0.228548308,9/22/2019,9,22,2019
2019,3,GB,DEN,27,16,1,-0.037058128,-0.041105389,-0.086400664,0.082751019,9/22/2019,-0.091577208,0.032737074,-0.098635389,0.10598233,9/22/2019,9,22,2019
2019,3,PHI,DET,24,27,0,-0.160834447,0.143288573,-0.150374215,0.116663147,9/22/2019,-0.152108851,0.061716608,-0.068535088,-0.018292158,9/22/2019,9,22,2019
2019,3,LAC,HOU,20,27,0,-0.036966286,0.068371123,-0.058807412,0.081775545,9/22/2019,0.046883686,0.021679366,-0.106777072,0.016629922,9/22/2019,9,22,2019
2019,3,CLE,LA,13,20,0,-0.109450539,0.035349895,-0.071573955,-0.011276584,9/22/2019,0.019502182,0.078353778,-0.127016595,-0.044098723,9/22/2019,9,22,2019
2019,3,DAL,MIA,31,6,1,-0.025003133,0.27227969,-0.018148704,0.090740704,9/22/2019,-0.188431127,-0.326477252,0.002928801,0.386293756,9/22/2019,9,22,2019
2019,3,SEA,NO,27,33,0,-0.090513335,0.119904785,-0.086370654,-0.025171223,9/22/2019,-0.115110244,0.086049423,-0.046076607,0.101260501,9/22/2019,9,22,2019
2019,3,TB,NYG,31,32,0,-0.103882393,-0.005260852,-0.214925122,0.06193579,9/22/2019,0.089843749,0.044145793,-0.035381459,0.245568716,9/22/2019,9,22,2019
2019,3,NE,NYJ,30,14,1,-0.017935559,0.250826447,-0.179973523,-0.212571139,9/22/2019,-0.222578562,-0.114579054,-0.001256713,0.096333791,9/22/2019,9,22,2019
2019,3,MIN,LV,34,14,1,-0.040934594,-0.030634767,-0.162170752,-0.15804804,9/22/2019,-0.095604768,0.017791554,-0.103567262,0.274297985,9/22/2019,9,22,2019
2019,3,SF,PIT,24,20,1,-0.107443306,0.161795124,-0.106736721,0.082274821,9/22/2019,-0.091082691,0.044682818,-0.071854942,0.138264827,9/22/2019,9,22,2019
2019,3,JAX,TEN,20,7,1,-0.083892131,-0.170533672,-0.125504747,0.05348021,9/19/2019,-0.019720605,-0.035608552,-0.078186132,-0.084882856,9/19/2019,9,19,2019
2019,4,HOU,CAR,10,16,0,-0.039826622,0.121452856,-0.114680246,0.028265829,9/29/2019,-0.111725014,0.069292173,0.02506309,0.004237689,9/29/2019,9,29,2019
2019,4,PIT,CIN,27,3,1,-0.135646046,-0.00468911,-0.128317291,0.132877844,9/30/2019,-0.168992649,-0.051890643,-0.034823989,0.189702407,9/30/2019,9,30,2019
2019,4,BAL,CLE,25,40,0,0.041786579,0.197826278,-0.195583319,0.031190919,9/29/2019,-0.132516513,0.006255543,-0.053261981,0.000311068,9/29/2019,9,29,2019
2019,4,NO,DAL,12,10,1,-0.124897956,0.132640941,-0.123235363,0.118278857,9/29/2019,0.031803406,0.250521799,-0.105515614,0.041283428,9/29/2019,9,29,2019
